,stock_name,disclosure_date,piotroski_score,purpose,mean_volume,mean_close,lowest_point_1,stoploss,1st_exit,2nd_exit,3rd_exit,4th_exit,5th_exit,6th_exit,7th_exit,8th_exit,9th_exit,10th_exit
4298,NR Agarwal Industries,2023-05-11,6,Quarterly-03,24829.39837398374,378.7376014275279,1.5433356558655733,1.5433356558655733,16.036630131600212,14.828521780166643,26.909581508393703,43.64769966327196,43.62820694723254,40.958691973341956,51.344503844965,84.4504974805159,84.29461521747223,67.5759897786334
4299,Southern Petrochemicals Industries Corp,2024-05-16,6,Annually,2507408.8863636362,80.38363647460938,15.299332210896985,15.299332210896985,6.28205323830629,8.448713253705929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4300,Southern Petrochemicals Industries Corp,2023-05-24,6,Annually,1749259.6857142858,74.68469395540198,8.412699775378634,8.412699775378634,-0.5124486651222716,-2.196193915606395,-3.879939166090519,9.243046690526855,-0.6881414438528264,0.8052699630065295,14.245972624740732,27.91068927626881,34.6310406071359,13.947294900898791
4301,Southern Petrochemicals Industries Corp,2022-05-27,5,Annually,1480568.1048387096,61.50584683879729,44.21052525292766,44.21052525292766,-20.681262790831493,-18.815895537702495,0.48661809778853243,-11.090112378545978,-13.134958644145128,5.514035479010433,36.922862661287326,14.838522992816511,-5.282750257280622,-9.290643845710047
4302,Southern Petrochemicals Industries Corp,2021-06-30,7,Annually,1589798.9236947792,56.81224911854449,3.9194950570458533,10.472974824204979,30.27522620172705,7.4413901978891595,8.358813537070427,-2.6503625363842427,-4.587156697272779,13.251780680828057,11.722728448403798,11.722728448403798,48.623860991091455,41.590196721119995
4303,Southern Petrochemicals Industries Corp,2024-05-16,5,Quarterly-03,2507408.8863636362,80.38363647460938,15.299332210896985,15.299332210896985,6.28205323830629,8.448713253705929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4304,Southern Petrochemicals Industries Corp,2023-11-06,7,Quarterly-9,2306545.1578947366,79.9530994794522,2.7427815970625304,2.7427815970625304,8.513699331409654,16.450206918418324,41.26983725059973,15.65656276525356,13.997108977033651,12.337655188813745,15.02163863534028,24.848474506483882,0.0,0.0
4305,Southern Petrochemicals Industries Corp,2023-05-24,4,Quarterly-03,1749259.6857142858,74.68469395540198,6.055898679074981,8.412699775378634,-0.5124486651222716,-2.196193915606395,-3.879939166090519,9.243046690526855,-0.6881414438528264,0.8052699630065295,14.245972624740732,27.91068927626881,34.6310406071359,13.947294900898791
4306,Vinyl Chemicals India,2024-05-03,5,Annually,61256.41509433962,385.90282857642984,18.077979990953487,18.077979990953487,-15.310204317806356,7.71314184631941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4307,Vinyl Chemicals India,2023-05-04,5,Annually,76134.02032520325,437.5441060880335,11.621736458168838,29.88842885991998,-3.4877701425985492,5.665055747325609,-0.21738887048371344,-1.2596137355873482,-6.064274180456553,-14.996142546641853,-7.294098249031693,-4.56346783021302,-12.004955911547272,-23.02127400793984
4308,Vinyl Chemicals India,2023-05-03,5,Annually,75385.9837398374,438.0967482900232,20.617359128487635,36.11802790341076,-10.609243054381464,-2.2536261608212156,-5.180409712963569,-8.459695797614097,-13.716198492127443,-19.262049958815837,-20.052931893308294,-12.11513175400268,-19.10772708156631,-28.75268615406786
4309,Vinyl Chemicals India,2022-05-16,7,Annually,150048.24596774194,448.63387034016273,22.399822678636507,22.399822678636507,-8.955219923335239,1.2211658711156437,26.82498782493013,186.06158124886522,105.61750087813222,93.48896777466874,75.6144168099111,69.67917630349606,29.009850776913694,19.70269921723209
4310,Vinyl Chemicals India,2021-05-10,5,Annually,222299.08870967742,227.7820565623622,6.1111237563703655,6.1111237563703655,-4.9083786128565645,-2.126955127823555,13.102258951359813,54.16485275078667,108.77775478989089,95.77631363171325,66.24007869794035,74.57609067423616,87.30309292901536,69.39608318583367
4311,Vinyl Chemicals India,2024-05-03,7,Quarterly-03,61256.41509433962,385.90282857642984,11.170054581566124,18.077979990953487,-15.310204317806356,7.71314184631941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4312,Vinyl Chemicals India,2023-11-03,6,Quarterly-9,65722.79651162791,401.897093484568,0.2458210496576825,0.2458210496576825,9.060817389182947,12.273177981544272,3.5188834068334534,-9.440902685741525,-3.702789612049579,-10.225596600709881,-1.0421775692052333,1.3487003836773608,0.0,0.0
4313,Vinyl Chemicals India,2023-05-04,5,Quarterly-03,76134.02032520325,437.5441060880335,11.621736458168838,11.621736458168838,-3.4877701425985492,5.665055747325609,-0.21738887048371344,-1.2596137355873482,-6.064274180456553,-14.996142546641853,-7.294098249031693,-4.56346783021302,-12.004955911547272,-23.02127400793984
4314,Vinyl Chemicals India,2023-05-03,5,Quarterly-03,75385.9837398374,438.0967482900232,20.617359128487635,20.617359128487635,-10.609243054381464,-2.2536261608212156,-5.180409712963569,-8.459695797614097,-13.716198492127443,-19.262049958815837,-20.052931893308294,-12.11513175400268,-19.10772708156631,-28.75268615406786
