,stockLink,stockName,stockSymbol
172,https://www.livemint.com/market/market-stats/stocks-century-textiles-industries-share-price-nse-bse-s0003188,Century Textiles &amp; Industries,CENTURYTEX
173,https://www.livemint.com/market/market-stats/stocks-suven-life-sciences-share-price-nse-bse-s0003189,Suven Life Sciences,SUVEN
174,https://www.livemint.com/market/market-stats/stocks-just-dial-share-price-nse-bse-s0003190,Just Dial,JUSTDIAL
175,https://www.livemint.com/market/market-stats/stocks-glenmark-pharmaceuticals-share-price-nse-bse-s0003191,Glenmark Pharmaceuticals,GLENMARK
176,https://www.livemint.com/market/market-stats/stocks-p-i-industries-share-price-nse-bse-s0003192,P I Industries,PIIND
177,https://www.livemint.com/market/market-stats/stocks-equinox-india-developments-share-price-nse-bse-s0003193,Equinox India Developments,EMBDL
178,https://www.livemint.com/market/market-stats/stocks-praj-industries-share-price-nse-bse-s0003194,Praj Industries,PRAJIND
179,https://www.livemint.com/market/market-stats/stocks-indian-bank-share-price-nse-bse-s0003195,Indian Bank,INDIANB
180,https://www.livemint.com/market/market-stats/stocks-united-breweries-share-price-nse-bse-s0003196,United Breweries,UBL
181,https://www.livemint.com/market/market-stats/stocks-srf-share-price-nse-bse-s0003197,SRF,SRF
182,https://www.livemint.com/market/market-stats/stocks-bliss-gvs-pharma-share-price-nse-bse-s0003198,Bliss Gvs Pharma,BLISSGVS
183,https://www.livemint.com/market/market-stats/stocks-raymond-share-price-nse-bse-s0003199,Raymond,RAYMOND
184,https://www.livemint.com/market/market-stats/stocks-gland-pharma-share-price-nse-bse-s0003201,Gland Pharma,GLAND
185,https://www.livemint.com/market/market-stats/stocks-exide-industries-share-price-nse-bse-s0003202,Exide Industries,EXIDEIND
186,https://www.livemint.com/market/market-stats/stocks-apl-apollo-tubes-share-price-nse-bse-s0003203,APL Apollo Tubes,APLAPOLLO
187,https://www.livemint.com/market/market-stats/stocks-cummins-india-share-price-nse-bse-s0003204,Cummins India,CUMMINSIND
188,https://www.livemint.com/market/market-stats/stocks-pc-jeweller-share-price-nse-bse-s0003205,PC Jeweller,PCJEWELLER
189,https://www.livemint.com/market/market-stats/stocks-cybertech-systems-software-share-price-nse-bse-s0003206,Cybertech Systems &amp; Software,CYBERTECH
190,https://www.livemint.com/market/market-stats/stocks-chambal-fertilisers-chemical-share-price-nse-bse-s0003207,Chambal Fertilisers &amp; Chemical,CHAMBLFERT
191,https://www.livemint.com/market/market-stats/stocks-tv18-broadcast-share-price-nse-bse-s0003208,TV18 Broadcast,TV18BRDCST
192,https://www.livemint.com/market/market-stats/stocks-ipca-laboratories-share-price-nse-bse-s0003209,IPCA Laboratories,IPCALAB
193,https://www.livemint.com/market/market-stats/stocks-aarti-drugs-share-price-nse-bse-s0003210,Aarti Drugs,AARTIDRUGS
194,https://www.livemint.com/market/market-stats/stocks-future-retail-share-price-nse-bse-s0003211,Future Retail,FRETAIL
195,https://www.livemint.com/market/market-stats/stocks-balkrishna-industries-share-price-nse-bse-s0003212,Balkrishna Industries,BALKRISIND
196,https://www.livemint.com/market/market-stats/stocks-waterbase-share-price-nse-bse-s0003213,Waterbase,WATERBASE
197,https://www.livemint.com/market/market-stats/stocks-bosch-share-price-nse-bse-s0003214,Bosch,BOSCHLTD
198,https://www.livemint.com/market/market-stats/stocks-arvind-share-price-nse-bse-s0003215,Arvind,ARVIND
199,https://www.livemint.com/market/market-stats/stocks-sbi-life-insurance-company-share-price-nse-bse-s0003216,SBI Life Insurance Company,SBILIFE
200,https://www.livemint.com/market/market-stats/stocks-siemens-share-price-nse-bse-s0003217,Siemens,SIEMENS
201,https://www.livemint.com/market/market-stats/stocks-epl-share-price-nse-bse-s0003218,EPL,EPL
202,https://www.livemint.com/market/market-stats/stocks-bajaj-electricals-share-price-nse-bse-s0003219,Bajaj Electricals,BAJAJELEC
203,https://www.livemint.com/market/market-stats/stocks-shree-cement-share-price-nse-bse-s0003220,Shree Cement,SHREECEM
204,https://www.livemint.com/market/market-stats/stocks-borosil-renewables-share-price-nse-bse-s0003221,Borosil Renewables,BORORENEW
205,https://www.livemint.com/market/market-stats/stocks-torrent-pharmaceuticals-share-price-nse-bse-s0003222,Torrent Pharmaceuticals,TORNTPHARM
206,https://www.livemint.com/market/market-stats/stocks-oil-india-share-price-nse-bse-s0003223,Oil India,OIL
207,https://www.livemint.com/market/market-stats/stocks-granules-india-share-price-nse-bse-s0003224,Granules India,GRANULES
208,https://www.livemint.com/market/market-stats/stocks-polycab-india-share-price-nse-bse-s0003225,Polycab India,POLYCAB
209,https://www.livemint.com/market/market-stats/stocks-abbott-india-share-price-nse-bse-s0003226,Abbott India,ABBOTINDIA
210,https://www.livemint.com/market/market-stats/stocks-sanofi-india-share-price-nse-bse-s0003227,Sanofi India,SANOFI
211,https://www.livemint.com/market/market-stats/stocks-cyient-share-price-nse-bse-s0003228,Cyient,CYIENT
212,https://www.livemint.com/market/market-stats/stocks-take-solutions-share-price-nse-bse-s0003229,Take Solutions,TAKE
213,https://www.livemint.com/market/market-stats/stocks-happiest-minds-technologies-share-price-nse-bse-s0003230,Happiest Minds Technologies,HAPPSTMNDS
214,https://www.livemint.com/market/market-stats/stocks-tejas-networks-share-price-nse-bse-s0003231,Tejas Networks,TEJASNET
215,https://www.livemint.com/market/market-stats/stocks-capri-global-capital-share-price-nse-bse-s0003232,Capri Global Capital,CGCL
216,https://www.livemint.com/market/market-stats/stocks-city-union-bank-share-price-nse-bse-s0003233,City Union Bank,CUB
217,https://www.livemint.com/market/market-stats/stocks-engineers-india-share-price-nse-bse-s0003234,Engineers India,ENGINERSIN
218,https://www.livemint.com/market/market-stats/stocks-central-bank-of-india-share-price-nse-bse-s0003235,Central Bank Of India,CENTRALBK
219,https://www.livemint.com/market/market-stats/stocks-avanti-feeds-share-price-nse-bse-s0003236,Avanti Feeds,AVANTIFEED
220,https://www.livemint.com/market/market-stats/stocks-multi-commodity-exchange-of-india-share-price-nse-bse-s0003237,Multi Commodity Exchange Of India,MCX
221,https://www.livemint.com/market/market-stats/stocks-nocil-share-price-nse-bse-s0003238,NOCIL,NOCIL
222,https://www.livemint.com/market/market-stats/stocks-arvind-smartspaces-share-price-nse-bse-s0003239,Arvind Smartspaces,ARVSMART
223,https://www.livemint.com/market/market-stats/stocks-idbi-bank-share-price-nse-bse-s0003240,IDBI Bank,IDBI
